teamId,teamName,institution,site,isWomenOnly
1092970,1331,Indian Institute of Technology - Roorkee,Bangalore,true
1103770,(un)retired,Indian Institute of Technology - Kanpur,Amritapuri,false
1092021,#1frombits.h,"BITS-Pilani, Hyderabad Campus",Amritapuri,false
1082596,#6f5b4d #be8e6e #9c735f,Chennai Mathematical Institute,Coimbatore,false
1093719,2b||!2b,"Indian Institute of Information Technology, Dharwad",Coimbatore,false
1095222,3 Idiots,"Indian Institute of Information Technology, Sonepat",Bangalore,false
1083748,3-Byte,Pandit Deendayal Energy University,Bangalore,false
1097156,3A Rated,"Indian Institute of Engineering Science and Technology, Shibpur",Amritapuri,false
1103930,3LogN,"Gayatri Vidya Parishad College of Engineering, Visakhapatnam",Coimbatore,false
1082139,85%Attendance,National Institute of Technology Rourkela,Coimbatore,false
1078942,AAA_s,"National Institute of Technology, Patna",Coimbatore,false
1107896,aalsi teen,"International Institute of Information Technology, Hyderabad",Coimbatore,false
1087175,AC || AFK,"Indian Institute of Technology (ISM), Dhanbad",Amritapuri,false
1078087,AC Hunters,"National Institute of Technology, Silchar",Bangalore,false
1092505,Ackermans,VNR Vignana Jyothi Institute of Engineering & Technology,Amritapuri,false
1092465,ACSepted,Indian Institute of Technology - Hyderabad,Coimbatore,false
1092366,Akshar,Delhi Skill and Entrepreneurship University Okhla-1,Mysuru,false
1094830,Algo Goblins,National Institute of Technology Delhi,Mysuru,false
1088117,Algoknights,"Institute of Engineering & Technology, Lucknow",Amritapuri,false
1096152,Algonauts,Vardhaman College of Engineering,Mysuru,false
1078729,ALL_IN,"Harcourt Butler Technical University, Kanpur",Coimbatore,false
1091826,all_we_need_is_ac,"Indian Institute of Technology, Palakkad",Mysuru,false
1091282,AlreadyQualified,"Indian Institute of Information Technology, Nagpur",Amritapuri,false
1086340,Alt+F4,"Indian Institute of Technology (ISM), Dhanbad",Amritapuri,false
1086311,Anant,Jabalpur Engineering College,Mysuru,false
1084127,Angel Coders,National Institute of Technology - Agartala,Amritapuri,false
1096444,Apex,Manipal University Jaipur,Bangalore,false
1087281,Apt,"Indian Institute of Technology, Madras",Amritapuri,true
1095949,arise,RV College of Engineering,Coimbatore,false
1089337,assert(false),Indian Institute of Technology - Delhi,Amritapuri,false
1102272,attempt[-1],Indian Institute of Technology - Mandi,Bangalore,false
1091988,Aubergine,"National Institute of Technology, Hamirpur",Amritapuri,false
1083041,Autistic,JSS Academy of Technical Education Noida,Amritapuri,false
1091240,AVS,Amity University,Mysuru,false
1088399,Azkaban ke Kaidi,Indian Institute of Technology - Indore,Amritapuri,false
1087040,BASS,Malaviya National Institute of Technology Jaipur,Mysuru,false
1109149,BhhoolGaya,Indian Institute of Technology - Varanasi,Amritapuri,false
1092987,Bhole Chature,Indian Institute of Technology - Roorkee,Amritapuri,false
1093079,Bhondu,Indian Institute Of Technology Jodhpur,Amritapuri,false
1078447,Bit Battleground,"GLA University, Mathura",Mysuru,false
1095180,Bit Manipulators,Bhagwan Parshuram Institute of Technology,Bangalore,false
1095198,BitCode,Institute of Engineering and Technology - Devi Ahilya Univ.,Bangalore,false
1096261,BitSet,HALDIA INSTITUTE OF TECHNOLOGY,Mysuru,false
1093215,BitsNGeeks,Shri Govindram Seksaria Institute of Technology and Science,Mysuru,false
1108589,BLANK,"Indian Institute of Information Technology, Nagpur",Bangalore,false
1092982,blue_Blazer_Black,Indian Institute of Technology - Roorkee,Bangalore,true
1093903,Brahmastra,The LNM Institute of Information Technology,Bangalore,false
1085169,brahmos,Indian Institute of Information Technology Manipur,Coimbatore,false
1109457,Brainiacs,Bangalore Institute of Technology,Mysuru,false
1107532,BROCODERS,"National Institute of Technology, Durgapur",Amritapuri,false
1091719,BudMag,"BITS-Pilani, Goa Campus",Bangalore,false
1091747,Bugcoders,"Visvesvaraya National Institute of Technology, Nagpur",Bangalore,false
1095914,Busy Beavers,Indian Institute of Technology Dharwad,Bangalore,false
